DC#,Storage 0,Storage 1,Storage 2,Storage 3,Storage 4,Storage 5,Longitude,Latitude
0,0.156971743815,0.155638130858,0.162359636421,0.163440760292,0.262366780918,0.099222947695,0.451125678328,0.387662929075
1,0.121047771447,0.361892489072,0.148256039496,0.162199000587,0.0967012746562,0.109903424742,0.501288505887,0.550461682926
2,0.161342871043,0.180099723406,0.167804753486,0.166501103359,0.0999080130405,0.224343535666,0.594532270558,0.526425440636
3,0.115493847169,0.400331884263,0.126612977419,0.145255640644,0.108043899434,0.10426175107,0.64600754531,0.519409251617
4,0.4252129384,0.10185729883,0.121042745923,0.151051831994,0.0901771031582,0.110658081695,0.546744417511,0.538795453019
5,0.132959234499,0.118261200086,0.149022915489,0.163446337372,0.316476347256,0.119833965298,0.398800163965,0.521934131466
6,0.136511494759,0.297261906252,0.147818622869,0.159706200576,0.12128861569,0.137413159855,0.474118500477,0.706000253609
7,0.114656096599,0.10722047119,0.107923258736,0.142062087703,0.418856757376,0.109281328397,0.550828897796,0.550374422324
8,0.139616686675,0.12486128509,0.122682370139,0.1302819649,0.085449759211,0.397107933985,0.440482599161,0.382585488323
9,0.108822071081,0.0987390208704,0.47106540956,0.112850313728,0.0935703722954,0.114952812465,0.47439821817,0.579819083155
10,0.148468821063,0.155793755186,0.159775135916,0.166193943545,0.105163923444,0.264604420846,0.519541425725,0.405095786496
11,0.111291985273,0.481372788717,0.102356709176,0.114819005104,0.0893796406242,0.100779871105,0.467433609213,0.494961217426
12,0.132453440659,0.0980905135512,0.16408812236,0.143462364279,0.0940123005819,0.367893258569,0.571907563792,0.500988754004
13,0.109948385295,0.0994150020799,0.113814355414,0.131569582628,0.0884686362164,0.456784038367,0.537758792714,0.531951925116
14,0.42600597543,0.108484162609,0.136412476831,0.145497273723,0.0917089887103,0.0918911226969,0.610952924456,0.470373181041
15,0.124004092968,0.107330605234,0.10843994528,0.454048333067,0.0933063274279,0.112870696023,0.416400598672,0.513911176922
16,0.140459280176,0.123975115111,0.143387967464,0.174021072465,0.328711432355,0.0894451324297,0.555483668054,0.384966687191
17,0.157548084925,0.131370393204,0.163780011942,0.180361701354,0.251102765777,0.115837042797,0.426996602311,0.437431862074
18,0.160342153938,0.145924652622,0.171870979879,0.15899781479,0.230017543762,0.132846855009,0.277343296567,0.409409934618
19,0.472941026273,0.101542770643,0.10547410749,0.116348234183,0.0893565760217,0.114337285389,0.477287211905,0.513539930033
