Cluster#,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193
0,0,3,4,13,25,51,82,100,122,123,127,152,154,172,179,182,198,232,235,253,258,295,308,309,334,363,392,405,425,429,435,442,480,482,497,503,532,534,546,548,553,570,589,609,611,615,620,637,672,681,690,729,733,738,768,799,826,827,832,833,834,846,870,876.0,881.0,929.0,931.0,932.0,1041.0,1054.0,1074.0,1080.0,1098.0,1103.0,1112.0,1113.0,1118.0,1124.0,1162.0,1184.0,1189.0,1193.0,1263.0,1279.0,1319.0,1329.0,1361.0,1364.0,1369.0,1382.0,1389.0,1393.0,1426.0,1439.0,1445.0,1458.0,1470.0,1511.0,1520.0,1522.0,1528.0,1541.0,1574.0,1588.0,1673.0,1691.0,1695.0,1710.0,1712.0,1726.0,1760.0,1769.0,1773.0,1778.0,1798.0,1813.0,1825.0,1827.0,1828.0,1834.0,1878.0,1883.0,1897.0,1925.0,1965.0,2000.0,2061.0,2107.0,2127.0,2162.0,2165.0,2179.0,2245.0,2289.0,2299.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,69,73,97,108,115,139,150,171,173,187,225,291,341,352,356,377,419,420,424,458,477,479,481,491,513,528,529,559,584,624,648,652,665,773,798,873,892,894,982,1012,1036,1044,1049,1077,1084,1089,1097,1109,1129,1157,1158,1196,1203,1209,1215,1229,1233,1259,1269,1291,1297,1316,1322.0,1331.0,1345.0,1354.0,1392.0,1406.0,1423.0,1455.0,1457.0,1492.0,1506.0,1529.0,1536.0,1545.0,1557.0,1575.0,1596.0,1606.0,1613.0,1662.0,1702.0,1715.0,1751.0,1795.0,1875.0,1903.0,1920.0,1944.0,1978.0,1993.0,2009.0,2014.0,2026.0,2035.0,2124.0,2134.0,2146.0,2201.0,2209.0,2241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,26,52,53,54,79,89,90,91,120,138,153,159,168,176,177,189,205,231,241,246,247,284,298,323,343,345,372,375,383,403,443,447,455,461,463,472,493,506,514,520,539,569,586,601,602,605,639,669,673,675,678,683,708,732,772,779,793,794,797,800,814,829,850,863.0,869.0,874.0,875.0,897.0,902.0,909.0,912.0,917.0,927.0,943.0,949.0,967.0,970.0,976.0,985.0,986.0,991.0,1022.0,1031.0,1038.0,1042.0,1059.0,1061.0,1075.0,1087.0,1120.0,1152.0,1175.0,1176.0,1221.0,1237.0,1245.0,1253.0,1255.0,1260.0,1264.0,1274.0,1282.0,1288.0,1300.0,1348.0,1368.0,1388.0,1394.0,1399.0,1418.0,1452.0,1454.0,1503.0,1508.0,1513.0,1518.0,1519.0,1540.0,1550.0,1553.0,1563.0,1579.0,1586.0,1600.0,1621.0,1641.0,1649.0,1659.0,1684.0,1687.0,1730.0,1750.0,1752.0,1756.0,1761.0,1762.0,1770.0,1788.0,1794.0,1804.0,1839.0,1863.0,1894.0,1898.0,1930.0,1933.0,1962.0,1980.0,1986.0,2005.0,2024.0,2055.0,2069.0,2098.0,2100.0,2109.0,2121.0,2126.0,2135.0,2140.0,2156.0,2163.0,2168.0,2176.0,2194.0,2204.0,2206.0,2235.0,2243.0,2262.0,2270.0,2281.0,2284.0,,,,,,,,,,,,,,,,,,,,,
3,30,39,42,67,109,158,215,249,269,316,347,353,365,366,406,433,562,571,580,585,593,603,608,661,723,781,822,855,857,860,903,906,911,941,962,1083,1137,1155,1160,1235,1280,1287,1318,1377,1400,1467,1502,1516,1633,1635,1648,1678,1704,1713,1731,1754,1809,1871,1926,2059,2067,2154,2188,2192.0,2271.0,2279.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,6,12,55,61,64,66,76,80,83,88,95,113,124,156,174,181,183,201,210,220,221,222,230,238,266,275,286,288,307,318,324,327,384,394,395,397,417,418,421,427,449,452,460,464,507,508,525,531,542,549,572,590,592,595,622,623,628,677,679,684,694,745,750,756.0,761.0,769.0,770.0,783.0,789.0,805.0,841.0,847.0,858.0,889.0,890.0,924.0,930.0,933.0,936.0,952.0,957.0,979.0,987.0,989.0,992.0,993.0,995.0,1008.0,1034.0,1035.0,1043.0,1082.0,1114.0,1121.0,1125.0,1133.0,1145.0,1188.0,1205.0,1213.0,1214.0,1230.0,1240.0,1268.0,1271.0,1294.0,1295.0,1298.0,1336.0,1337.0,1340.0,1343.0,1365.0,1375.0,1379.0,1383.0,1384.0,1397.0,1401.0,1403.0,1408.0,1427.0,1431.0,1459.0,1472.0,1485.0,1486.0,1495.0,1498.0,1524.0,1525.0,1532.0,1546.0,1564.0,1565.0,1568.0,1599.0,1634.0,1640.0,1652.0,1656.0,1661.0,1667.0,1735.0,1739.0,1779.0,1791.0,1799.0,1821.0,1849.0,1860.0,1865.0,1868.0,1874.0,1889.0,1907.0,1908.0,1919.0,1928.0,1935.0,1954.0,1957.0,1977.0,1987.0,1992.0,2054.0,2081.0,2084.0,2089.0,2108.0,2118.0,2150.0,2169.0,2182.0,2210.0,2211.0,2229.0,2246.0,2248.0,2251.0,2253.0,2265.0,2266.0,2287.0,,,,,,,,,,
5,16,41,77,86,114,141,155,160,178,203,212,214,226,242,278,281,292,312,328,331,369,376,385,387,401,416,432,444,456,483,505,577,653,671,695,717,721,727,828,842,872,877,905,973,974,1027,1066,1088,1143,1172,1180,1222,1234,1238,1242,1246,1292,1311,1341,1347,1351,1372,1409,1442.0,1444.0,1448.0,1469.0,1489.0,1494.0,1509.0,1531.0,1548.0,1567.0,1577.0,1616.0,1639.0,1643.0,1658.0,1660.0,1679.0,1686.0,1707.0,1714.0,1719.0,1748.0,1759.0,1764.0,1777.0,1783.0,1787.0,1803.0,1812.0,1853.0,1854.0,1867.0,1971.0,1976.0,2001.0,2008.0,2025.0,2030.0,2036.0,2064.0,2082.0,2111.0,2125.0,2139.0,2153.0,2180.0,2185.0,2186.0,2190.0,2191.0,2219.0,2236.0,2290.0,2297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1,50,62,105,133,148,157,162,170,188,195,228,233,234,251,261,270,293,296,300,301,348,364,371,373,378,409,439,441,450,453,469,515,566,581,591,635,640,646,662,670,680,696,703,715,720,731,741,762,771,775,785,795,802,811,838,862,886,898,899,901,908,922,938.0,940.0,947.0,990.0,1017.0,1024.0,1025.0,1030.0,1063.0,1065.0,1068.0,1069.0,1085.0,1099.0,1116.0,1119.0,1123.0,1127.0,1138.0,1161.0,1181.0,1200.0,1202.0,1204.0,1257.0,1270.0,1278.0,1285.0,1299.0,1323.0,1334.0,1355.0,1373.0,1378.0,1380.0,1385.0,1391.0,1407.0,1419.0,1425.0,1430.0,1436.0,1440.0,1441.0,1460.0,1463.0,1465.0,1466.0,1477.0,1478.0,1482.0,1491.0,1570.0,1590.0,1592.0,1594.0,1605.0,1612.0,1623.0,1625.0,1637.0,1644.0,1645.0,1668.0,1680.0,1693.0,1721.0,1724.0,1727.0,1728.0,1746.0,1771.0,1775.0,1780.0,1781.0,1796.0,1801.0,1822.0,1836.0,1843.0,1851.0,1861.0,1876.0,1886.0,1888.0,1892.0,1895.0,1900.0,1914.0,1916.0,1932.0,1938.0,1946.0,1951.0,1961.0,1963.0,1966.0,1974.0,1982.0,2006.0,2011.0,2015.0,2021.0,2037.0,2057.0,2063.0,2066.0,2070.0,2071.0,2086.0,2101.0,2144.0,2147.0,2166.0,2170.0,2184.0,2212.0,2216.0,2222.0,2224.0,2237.0,2244.0,2250.0,2260.0,2291.0,2296.0,,,,,
7,17,44,45,71,99,107,116,121,193,216,219,248,319,386,413,437,438,488,521,527,530,545,656,687,688,701,776,816,887,891,896,900,937,963,972,1019,1033,1051,1092,1165,1168,1174,1208,1225,1275,1286,1293,1308,1330,1376,1390,1484,1533,1566,1569,1582,1598,1689,1720,1818,1846,1877,1880,1918.0,1931.0,1997.0,2004.0,2039.0,2044.0,2060.0,2062.0,2090.0,2091.0,2151.0,2157.0,2164.0,2208.0,2221.0,2223.0,2258.0,2264.0,2280.0,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,40,78,110,134,166,202,213,259,273,289,340,355,357,361,380,436,467,471,541,556,558,587,604,613,619,625,657,664,693,787,791,809,825,844,851,853,861,878,918,923,928,951,980,1013,1032,1067,1093,1130,1136,1167,1206,1212,1216,1224,1258,1272,1283,1312,1314,1321,1333,1370,1374,1395.0,1405.0,1429.0,1449.0,1462.0,1474.0,1488.0,1490.0,1501.0,1512.0,1514.0,1526.0,1534.0,1538.0,1549.0,1559.0,1562.0,1573.0,1576.0,1589.0,1601.0,1611.0,1619.0,1665.0,1676.0,1683.0,1694.0,1725.0,1736.0,1740.0,1741.0,1772.0,1837.0,1844.0,1850.0,1870.0,1899.0,1911.0,1924.0,1940.0,1949.0,1958.0,1984.0,2002.0,2087.0,2132.0,2141.0,2158.0,2160.0,2183.0,2200.0,2203.0,2205.0,2230.0,2268.0,2282.0,2292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2,11,29,37,38,49,106,125,126,143,149,169,218,240,315,359,400,404,408,470,486,550,606,638,649,650,668,697,700,713,725,726,784,879,895,915,921,968,977,978,1050,1057,1106,1107,1131,1141,1147,1177,1223,1249,1273,1289,1301,1303,1306,1317,1421,1435,1451,1475,1497,1500,1560,1561.0,1583.0,1591.0,1627.0,1631.0,1647.0,1653.0,1664.0,1671.0,1681.0,1699.0,1701.0,1711.0,1717.0,1723.0,1738.0,1742.0,1757.0,1789.0,1847.0,1852.0,2045.0,2076.0,2099.0,2130.0,2171.0,2172.0,2227.0,2239.0,2278.0,2288.0,2294.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
